Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
"52215","Freehold","39 Kings Highway, London (SE18 2BH)","GREENWICH","GREATER LONDON","GREATER LONDON","SE18 2BH","N","340000","THE REED ASSET COMPANY LIMITED","10484553","Limited Company or Public Limited Company","39 Kings Highway, London SE18 2BH","16a Kitson Hill Road, Mirfield WF14 9EL","","","","","","","","","","","","","","","","","","","","16-06-2017","N"
"52446","Freehold","the forecourts of 323, 325, 327, 329 and 329A York Road, Battersea","WANDSWORTH","GREATER LONDON","GREATER LONDON","","N","","TRANSPORT FOR LONDON","","Corporate Body","Transport for London, 55 Broadway, London SW1H 0BD","","","","","","","","","","","","","","","","","","","","","21-11-2017","N"
"52729","Freehold","land in Upper Tooting Road, London","WANDSWORTH","GREATER LONDON","GREATER LONDON","","N","","TRANSPORT FOR LONDON","","Corporate Body","Transport for London, 55 Broadway, London SW1H 0BD","","","","","","","","","","","","","","","","","","","","","21-11-2017","N"
"52901","Freehold","40 Credenhill Street, Streatham","WANDSWORTH","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF WANDSWORTH","","Local Authority","Town Hall, High Street, Wandsworth, London SW18 2PU","","","","","","","","","","","","","","","","","","","","","30-05-1974","N"
"53167","Leasehold","32 Hackford Road, London (SW9 0RF)","LAMBETH","GREATER LONDON","GREATER LONDON","SW9 0RF","N","","32 HACKFORD ROAD MANAGEMENT LIMITED","","Limited Company or Public Limited Company","32 Hackford Road, London SW9","","","","","","","","","","","","","","","","","","","","","01-09-1987","N"
"53604","Leasehold","5 Prairie Street, London (SW8 3PX)","WANDSWORTH","GREATER LONDON","GREATER LONDON","SW8 3PX","N","","RYEHURST LIMITED","","Limited Company or Public Limited Company","398 Finchley Road, London NW2","","","","","","","","","","","","","","","","","","","","","07-06-1973","N"
"54063","Freehold","9 Royal Naval Place, St Paul, Deptford","LEWISHAM","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR ALDERMEN AND BURGESSES OF THE LONDON BOROUGH OF LEWISHAM","","Local Authority","Lewisham Town Hall, Catford, London SE6","","","","","","","","","","","","","","","","","","","","","04-09-1972","N"
"54205","Freehold","40 Fairfield Street","WANDSWORTH","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF WANDSWORTH","","Local Authority","Town Hall, High Street, Wandsworth, London SW18 2PU","","","","","","","","","","","","","","","","","","","","","03-04-1954","N"
"54392","Freehold","174 Knollys Road, London (SW16 2JS)","LAMBETH","GREATER LONDON","GREATER LONDON","SW16 2JS","N","48500","174 KNOLLYS ROAD FREEHOLD LIMITED","10757593","Limited Company or Public Limited Company","Flat D, 174 Knollys Road, London SW16 2JS","","","","","","","","","","","","","","","","","","","","","04-09-2017","N"
"54639","Freehold","81 Mount Nod Road, London (SW16 2LJ)","LAMBETH","GREATER LONDON","GREATER LONDON","SW16 2LJ","N","","OPTIVO","7561","Community Benefit Society (Corporate Body)","Grosvenor House, 125 High Street, Croydon CR0 9XP","","","","","","","","","","","","","","","","","","","","","29-06-2017","N"
"54829","Freehold","a passageway between 31 and 33 Fairlight Road","WANDSWORTH","GREATER LONDON","GREATER LONDON","","N","","LLOYDS BANK PLC","2065","Limited Company or Public Limited Company","25 Gresham Street, London EC2V 7HN","3rd Floor, 2 City Place, Beehive Ring Road, Gatwick RH6 0PA","","","","","","","","","","","","","","","","","","","","09-11-1965","N"
"54845","Freehold","land forming parts of the sites of Alabama Street and Garland Road and also land at the back of 139 to 149 (odd) Alabama Street","GREENWICH","GREATER LONDON","GREATER LONDON","","N","","SMITH &  WILLIAMSON TRUST CORPORATION LIMITED","02013947","Limited Company or Public Limited Company","1 Riding House Street, London W1A 3AS","","","GSE TRUSTEES LIMITED","4961118","Limited Company or Public Limited Company","Room 9, Enterprise House, Foundry Lane, Horsham, West Sussex RH13 5PX","","","","","","","","","","","","","","","27-07-2005","N"
"54927","Freehold","91 to 100 Prince of Wales Mansions, Prince of Wales Drive, London (SW11 4BL)","WANDSWORTH","GREATER LONDON","GREATER LONDON","SW11 4BL","N","","91-100 PRINCE OF WALES MANSIONS LIMITED","3639330","Limited Company or Public Limited Company","34 Sumner Place, South Kensington, London SW7 3NT","","","","","","","","","","","","","","","","","","","","","22-01-1999","N"
"55179","Freehold","56, 57, 58, 59, 64, 65, 66, 67, 68, 69 Albert Embankment","LAMBETH","GREATER LONDON","GREATER LONDON","","N","","THE COUNTY COUNCIL OF THE ADMINISTRATIVE COUNTY OF LONDON","","County Council","Spring Gardens, London SW","","","","","","","","","","","","","","","","","","","","","","N"
"55192","Leasehold","2A Scawen Road","LEWISHAM","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR ALDERMEN AND BURGESSES OF THE LONDON BOROUGH OF LEWISHAM","","Local Authority","Lewisham Town Hall, Catford, London SE6 4RU","","","","","","","","","","","","","","","","","","","","","06-02-1973","N"
"55492","Freehold","Brett House, 198 West Hill","WANDSWORTH","GREATER LONDON","GREATER LONDON","","N","","BRETT HOUSE FREEHOLDERS ASSOCIATION LIMITED","1699743","Limited Company or Public Limited Company","36 The Broadway, Wimbledon, London, SW19","","","","","","","","","","","","","","","","","","","","","23-06-1983","N"
"56155","Freehold","230 Mitcham Lane, London (SW16 6NT)","WANDSWORTH","GREATER LONDON","GREATER LONDON","SW16 6NT","N","","THE BAPTIST UNION CORPORATION LIMITED","32743","Limited Company or Public Limited Company","Baptist House, PO Box 44, 129 Broadway, Didcot, Oxon OX11 8RT","","","","","","","","","","","","","","","","","","","","","17-12-2004","N"
"56373","Freehold","15 Hylton Street (SE18 1EE)","GREENWICH","GREATER LONDON","GREATER LONDON","SE18 1EE","N","","ROYAL BOROUGH OF GREENWICH","","Local Authority","Town Hall, Woolwich, London SE18 6PW","","","","","","","","","","","","","","","","","","","","","02-01-1948","N"
"57197","Freehold","4 Brussels Road, London (SW11 2AF)","WANDSWORTH","GREATER LONDON","GREATER LONDON","SW11 2AF","N","","OPTIVO","7561","Community Benefit Society (Corporate Body)","Grosvenor House, 125 High Street, Croydon CR0 9XP","","","","","","","","","","","","","","","","","","","","","07-07-2017","N"
"57560","Freehold","Part of 1 to 3 Polar Terrace, Sunnydene Street and Part of Explorer House, Highclere Street, London","LEWISHAM","GREATER LONDON","GREATER LONDON","","N","","OPTIVO","7561","Community Benefit Society (Corporate Body)","Grosvenor House, 125 High Street, Croydon CR0 9XP","","","","","","","","","","","","","","","","","","","","","29-06-2017","N"
"57561","Freehold","Part of 1 to 3 Polar Terrace, Sunnydene Street and Part of Explorer House, Highclere Street, London","LEWISHAM","GREATER LONDON","GREATER LONDON","","N","","OPTIVO","7561","Community Benefit Society (Corporate Body)","Grosvenor House, 125 High Street, Croydon CR0 9XP","","","","","","","","","","","","","","","","","","","","","29-06-2017","N"
"57595","Freehold","dwellinghouse and garden with stabling and outbuildings known as The Chestnuts, 465 Lordship Lane","SOUTHWARK","GREATER LONDON","GREATER LONDON","","N","","MODERN HOMESTEADS (TULSE HILL) LIMITED","","Limited Company or Public Limited Company","353 Norwood Road, London SE27","","","","","","","","","","","","","","","","","","","","","21-01-1957","N"
"57637","Freehold","land at Garratt Lane and York Road","WANDSWORTH","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF WANDSWORTH","","Local Authority","Town Hall, Wandsworth High Street, London SW18 2PU","","","","","","","","","","","","","","","","","","","","","26-07-1902","N"
"57686","Freehold","3 Banchory Road","GREENWICH","GREATER LONDON","GREATER LONDON","","N","","ROYAL BOROUGH OF GREENWICH","","Local Authority","Town Hall, Woolwich, London SE18 6PW","","","","","","","","","","","","","","","","","","","","","10-06-1965","N"
"57952","Freehold","10-18 Union Street, London (SE1 1SZ)","SOUTHWARK","GREATER LONDON","GREATER LONDON","SE1 1SZ","N","","THE ROYAL COLLEGE OF OBSTETRICIANS AND GYNAECOLOGISTS","RC000792","Corporate Body","27 Sussex Place, London NW1 4RG","","","","","","","","","","","","","","","","","","","","","05-01-2018","N"
"58054","Freehold","29 Amersham Vale, St Paul Deptford","LEWISHAM","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR ALDERMEN AND BURGESSES OF THE LONDON BOROUGH OF LEWISHAM","","Local Authority","Lewisham Town Hall, Catford, London SE6","","","","","","","","","","","","","","","","","","","","","27-04-1967","N"
"58282","Freehold","100 Vauxhall Walk, London (SE11 5EL)","LAMBETH","GREATER LONDON","GREATER LONDON","SE11 5EL","N","","SPRING MEWS LIMITED","2219526","Limited Company or Public Limited Company","16 Tinworth Street, London SE11 5AL","","","","","","","","","","","","","","","","","","","","","21-05-2010","N"
"58450","Leasehold","358 TUNNEL AVENUE, LONDON","GREENWICH","GREATER LONDON","GREATER LONDON","","Y","","THE LONDON COUNTY COUNCIL","","County Council","The County Hall, Westminster Bridge, London SE1","","","","","","","","","","","","","","","","","","","","","13-04-1950","N"
"58492","Freehold","41 Lewin Road, London (SW16 6JZ)","LAMBETH","GREATER LONDON","GREATER LONDON","SW16 6JZ","N","61500","41 LEWIN ROAD RESIDENTS COMPANY LIMITED","1815002","Limited Company or Public Limited Company","1st Floor, Sidda House, 350 Lower Addiscombe Road, Croydon CR0 7AF","","","","","","","","","","","","","","","","","","","","","24-04-2018","N"
"58506","Freehold","20 Longhurst Road, London (SE13 5LP)","LEWISHAM","GREATER LONDON","GREATER LONDON","SE13 5LP","N","","LONDON & QUADRANT HOUSING TRUST","30441R","Registered Society (Corporate Body)","29-35 West Ham Lane, London E15 4PH","","","","","","","","","","","","","","","","","","","","","23-06-1970","N"
"58516","Leasehold","forecourts of 81, 83, 85 and 87 York Road","WANDSWORTH","GREATER LONDON","GREATER LONDON","","N","","TRANSPORT FOR LONDON","","Corporate Body","Transport for London, 55 Broadway, London SW1H 0BD","","","","","","","","","","","","","","","","","","","","","21-11-2017","N"
