Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
"19038","Freehold","land at Rhysgog Farm, and Plas Elltyn, Delwyn Lane, and Hill Field, Maesydd, Oakwood and Y-Gadair, Llanfyllin","POWYS","POWYS","WALES","","N","","THE COUNTY COUNCIL OF THE ADMINISTRATIVE COUNTY OF MONTGOMERY","","County Council","Welshpool","","","","","","","","","","","","","","","","","","","","","06-03-1920","N"
"19135","Freehold","Allotment Gardens, Marford Road, Wheathampstead, St Albans","ST ALBANS","HERTFORDSHIRE","SOUTH EAST","","N","","HERTFORDSHIRE COUNTY COUNCIL","","County Council","County Hall, Hertford SG13 8DE","","","","","","","","","","","","","","","","","","","","","23-03-1920","N"
"19172","Freehold","Land lying on the south side of St Neots Road, Bedford","BEDFORD","BEDFORD","SOUTH EAST","","N","","BEDFORDSHIRE COUNTY COUNCIL","","County Council","County Hall, Cauldwell Street, Bedford MK42 9AP","","","","","","","","","","","","","","","","","","","","","10-03-2004","N"
"19442","Freehold","land on the north side of Sedge Way, Witchford, Ely","EAST CAMBRIDGESHIRE","CAMBRIDGESHIRE","EAST ANGLIA","","N","","COMMON FARM LIMITED","00400447","Limited Company or Public Limited Company","9 Houghton Gardens Ely Cambs CB7 4JN","","","","","","","","","","","","","","","","","","","","","06-03-2003","N"
"19590","Freehold","land known as Dairy House Farm, Dairy House Lane, Cheadle, Stockport","CHESHIRE EAST","CHESHIRE EAST","NORTH WEST","","N","","CHESHIRE EAST BOROUGH COUNCIL","","Local Authority","Borough Solicitor, Legal Services, Westfields, Middlewich Road, Sandbach CW11 1HZ","","","","","","","","","","","","","","","","","","","","","13-12-2004","N"
"19600","Freehold","land at Uplands Farm, Botley, 1 and 2 New House Farm, Winchester Street, Botley and Lower Wangfield Farm, Wangfield Lane, Curdridge, Southampton","EASTLEIGH","HAMPSHIRE","SOUTH EAST","","N","","HAMPSHIRE COUNTY COUNCIL","","Local Authority","The Castle, Winchester SO23 8UJ","","","","","","","","","","","","","","","","","","","","","25-05-1920","N"
"19610","Freehold","2 to 4 Boxley Street, Silvertown","NEWHAM","GREATER LONDON","GREATER LONDON","","N","","SILVERTOWN GARAGE LIMITED","00396220","Limited Company or Public Limited Company","149 Marine Parade East, Clacton On Sea, Essex CO15 5AE","","","","","","","","","","","","","","","","","","","","","28-05-1962","N"
"19792","Freehold","Land on the west side of Horsham Road, Cranleigh","WAVERLEY","SURREY","SOUTH EAST","","N","","STERLING HOMES LIMITED","538823","Limited Company or Public Limited Company","1 Cavendish Place, London W1G 0QD","","","","","","","","","","","","","","","","","","","","","07-12-2006","N"
"19995","Freehold","98 High Road, Brentford","HOUNSLOW","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSESS OF THE LONDON BOROUGH OF HOUNSLOW","","Local Authority","Civic Centre, Lampton Road, Hounslow, Middlesex TW3 4DN","","","","","","","","","","","","","","","","","","","","","23-03-1922","N"
"20273","Freehold","West Haven, 3 Woodchurch Road, (NW6 3PL)","CAMDEN","GREATER LONDON","GREATER LONDON","NW6 3PL","N","","FREEHOLD MANAGERS (NOMINEES) LIMITED","02686761","Limited Company or Public Limited Company","250 Bishopsgate, London EC2M 4AA","","","","","","","","","","","","","","","","","","","","","24-01-2000","N"
"20438","Freehold","24 Red Lion Street, Holborn","CAMDEN","GREATER LONDON","GREATER LONDON","","N","","LIBYAN ARAB FOREIGN INVESTMENT COMPANY","","Corporate Body","Kirkby Diamond, Meridian House, 57 North Twelfth Street, Central Milton Keynes, Bucks MK9 3BS","","","","","","","","","","","","","","","","","","","","","29-05-1998","N"
"36216","Freehold","22 Benson Road, London (SE23 3RJ)","LEWISHAM","GREATER LONDON","GREATER LONDON","SE23 3RJ","N","","PEABODY TRUST","7741","Community Benefit Society (Corporate Body)","45 Westminster Bridge Road, London SE1 7JB","","","","","","","","","","","","","","","","","","","","","23-07-2018","N"
"36378","Freehold","Land on the west side of 188 Garratt Lane, London (SW18 4ED)","WANDSWORTH","GREATER LONDON","GREATER LONDON","SW18 4ED","N","","RAYNER LONDON LIMITED","7630274","Limited Company or Public Limited Company","Banquet House, 118-120 Garratt Lane, London SW18 4DJ","","","","","","","","","","","","","","","","","","","","","22-09-2016","N"
"36575","Freehold","131 Endlesham Road, Balham, London (SW12 8JN)","WANDSWORTH","GREATER LONDON","GREATER LONDON","SW12 8JN","N","","EGP PROPERTY LIMITED","07660805","Limited Company or Public Limited Company","131 Endlesham Road, London SW12 8JN","","","","","","","","","","","","","","","","","","","","","11-02-2014","Y"
"36789","Freehold","138 Courthill Road, (SE13 6DR)","LEWISHAM","GREATER LONDON","GREATER LONDON","SE13 6DR","N","","OPTIVO","7561","Community Benefit Society (Corporate Body)","Grosvenor House, 125 High Street, Croydon CR0 9XP","","","","","","","","","","","","","","","","","","","","","07-07-2017","N"
"37653","Freehold","227 Lewisham High Street, London (SE13 6LY)","LEWISHAM","GREATER LONDON","GREATER LONDON","SE13 6LY","N","2100000","SKILLCROWN HOLDINGS LIMITED","08751790","Limited Company or Public Limited Company","Terrance House, 151 Hastings Road, Bromley BR2 8NQ","","","","","","","","","","","","","","","","","","","","","31-01-2018","N"
"37702","Freehold","193 to 205 (odd) Lee High Road","LEWISHAM","GREATER LONDON","GREATER LONDON","","N","","BP OIL UK LIMITED","","Limited Company or Public Limited Company","Witan Gate House, 500-600 Witan Gate, Central Milton Keynes MK9 1ES","","","","","","","","","","","","","","","","","","","","","04-11-1976","N"
"37709","Freehold","12 and 12B Ravensbourne Road, London (SE6 4UX)","LEWISHAM","GREATER LONDON","GREATER LONDON","SE6 4UX","N","","OPTIVO","7561","Community Benefit Society (Corporate Body)","Grosvenor House, 125 High Street, Croydon CR0 9XP","","","","","","","","","","","","","","","","","","","","","23-06-2017","N"
"37924","Leasehold","3 Morat Street, London (SW9 0RJ)","LAMBETH","GREATER LONDON","GREATER LONDON","SW9 0RJ","N","","LONDON & QUADRANT HOUSING TRUST","30441R","Registered Society (Corporate Body)","29-35 West Ham Lane, London E15 4PH","","","","","","","","","","","","","","","","","","","","","24-07-1978","N"
